ENGINE_ID,SYSTEM_ID,PARENT_ITEM_ID,CHILD_ITEM_ID,BOM_LEVEL,SEQUENCENO,PATH
MAT002384,MAT002385,MAT001847,MAT000173,4,1,->MAT002385->MAT002071->MAT002067->MAT001847->MAT000173
MAT002384,MAT002385,MAT001851,MAT000021,4,1,->MAT002385->MAT002082->MAT001864->MAT001851->MAT000021
MAT002384,MAT002385,MAT001851,MAT000361,4,2,->MAT002385->MAT002082->MAT001864->MAT001851->MAT000361
MAT002384,MAT002385,MAT001852,MAT000021,4,1,->MAT002385->MAT002082->MAT001864->MAT001852->MAT000021
MAT002384,MAT002385,MAT001852,MAT000361,4,2,->MAT002385->MAT002082->MAT001864->MAT001852->MAT000361
MAT002384,MAT002385,MAT001853,MAT000021,4,1,->MAT002385->MAT002082->MAT001864->MAT001853->MAT000021
MAT002384,MAT002385,MAT001853,MAT000361,4,2,->MAT002385->MAT002082->MAT001864->MAT001853->MAT000361
MAT002384,MAT002385,MAT001853,MAT002168,4,3,->MAT002385->MAT002082->MAT001864->MAT001853->MAT002168
MAT002384,MAT002385,MAT001854,MAT000021,4,1,->MAT002385->MAT002082->MAT001864->MAT001854->MAT000021
MAT002384,MAT002385,MAT001855,MAT000021,4,1,->MAT002385->MAT002082->MAT001864->MAT001855->MAT000021
MAT002384,MAT002385,MAT001856,MAT000021,4,1,->MAT002385->MAT002082->MAT001864->MAT001856->MAT000021
MAT002384,MAT002385,MAT001856,MAT000316,4,2,->MAT002385->MAT002082->MAT001864->MAT001856->MAT000316
MAT002384,MAT002385,MAT001858,MAT000055,4,1,->MAT002385->MAT002082->MAT001963->MAT001858->MAT000055
MAT002384,MAT002385,MAT001859,MAT000361,4,2,->MAT002385->MAT002082->MAT001963->MAT001859->MAT000361
MAT002384,MAT002385,MAT001859,MAT000947,4,3,->MAT002385->MAT002082->MAT001963->MAT001859->MAT000947
MAT002384,MAT002385,MAT001859,MAT001191,4,1,->MAT002385->MAT002082->MAT001963->MAT001859->MAT001191
MAT002384,MAT002385,MAT001860,MAT000021,4,1,->MAT002385->MAT002082->MAT001963->MAT001860->MAT000021
MAT002384,MAT002385,MAT001860,MAT000361,4,2,->MAT002385->MAT002082->MAT001963->MAT001860->MAT000361
MAT002384,MAT002385,MAT001861,MAT000021,4,1,->MAT002385->MAT002082->MAT001963->MAT001861->MAT000021
MAT002384,MAT002385,MAT001861,MAT000061,4,2,->MAT002385->MAT002082->MAT001963->MAT001861->MAT000061
MAT002384,MAT002385,MAT001861,MAT000361,4,3,->MAT002385->MAT002082->MAT001963->MAT001861->MAT000361
MAT002384,MAT002385,MAT001862,MAT000021,4,1,->MAT002385->MAT002082->MAT001963->MAT001862->MAT000021
MAT002384,MAT002385,MAT001863,MAT000021,4,1,->MAT002385->MAT002082->MAT001963->MAT001863->MAT000021
MAT002384,MAT002385,MAT001863,MAT000134,4,2,->MAT002385->MAT002082->MAT001963->MAT001863->MAT000134
MAT002384,MAT002385,MAT001863,MAT000361,4,3,->MAT002385->MAT002082->MAT001963->MAT001863->MAT000361
MAT002384,MAT002385,MAT001864,MAT001851,3,1,->MAT002385->MAT002082->MAT001864->MAT001851
MAT002384,MAT002385,MAT001864,MAT001852,3,2,->MAT002385->MAT002082->MAT001864->MAT001852
MAT002384,MAT002385,MAT001864,MAT001853,3,3,->MAT002385->MAT002082->MAT001864->MAT001853
MAT002384,MAT002385,MAT001864,MAT001854,3,4,->MAT002385->MAT002082->MAT001864->MAT001854
MAT002384,MAT002385,MAT001864,MAT001855,3,5,->MAT002385->MAT002082->MAT001864->MAT001855
MAT002384,MAT002385,MAT001864,MAT001856,3,6,->MAT002385->MAT002082->MAT001864->MAT001856
MAT002384,MAT002385,MAT001864,MAT001865,3,9,->MAT002385->MAT002082->MAT001864->MAT001865
MAT002384,MAT002385,MAT001864,MAT002172,3,8,->MAT002385->MAT002082->MAT001864->MAT002172
MAT002384,MAT002385,MAT001864,MAT002173,3,7,->MAT002385->MAT002082->MAT001864->MAT002173
MAT002384,MAT002385,MAT001865,MAT000021,4,1,->MAT002385->MAT002082->MAT001864->MAT001865->MAT000021
MAT002384,MAT002385,MAT001924,MAT000529,4,x9999,->MAT002385->MAT001930->MAT001929->MAT001924->MAT000529
MAT002384,MAT002385,MAT001924,MAT000558,4,2,->MAT002385->MAT001930->MAT001929->MAT001924->MAT000558
MAT002384,MAT002385,MAT001924,MAT000559,4,3,->MAT002385->MAT001930->MAT001929->MAT001924->MAT000559
MAT002384,MAT002385,MAT001924,MAT000560,4,6,->MAT002385->MAT001930->MAT001929->MAT001924->MAT000560
MAT002384,MAT002385,MAT001924,MAT000561,4,7,->MAT002385->MAT001930->MAT001929->MAT001924->MAT000561
MAT002384,MAT002385,MAT001924,MAT000562,4,8,->MAT002385->MAT001930->MAT001929->MAT001924->MAT000562
MAT002384,MAT002385,MAT001924,MAT000568,4,5,->MAT002385->MAT001930->MAT001929->MAT001924->MAT000568
MAT002384,MAT002385,MAT001924,MAT000569,4,4,->MAT002385->MAT001930->MAT001929->MAT001924->MAT000569
MAT002384,MAT002385,MAT001924,MAT001360,4,1,->MAT002385->MAT001930->MAT001929->MAT001924->MAT001360
MAT002384,MAT002385,MAT001924,MAT002128,4,9,->MAT002385->MAT001930->MAT001929->MAT001924->MAT002128
MAT002384,MAT002385,MAT001929,MAT000170,3,1,->MAT002385->MAT001930->MAT001929->MAT000170
MAT002384,MAT002385,MAT001929,MAT001022,3,4,->MAT002385->MAT001930->MAT001929->MAT001022
MAT002384,MAT002385,MAT001929,MAT001742,3,3,->MAT002385->MAT001930->MAT001929->MAT001742
MAT002384,MAT002385,MAT001929,MAT001924,3,2,->MAT002385->MAT001930->MAT001929->MAT001924
MAT002384,MAT002385,MAT001930,MAT000171,2,36,->MAT002385->MAT001930->MAT000171
MAT002384,MAT002385,MAT001930,MAT000235,2,38,->MAT002385->MAT001930->MAT000235
MAT002384,MAT002385,MAT001930,MAT000539,2,12,->MAT002385->MAT001930->MAT000539
MAT002384,MAT002385,MAT001930,MAT000542,2,2,->MAT002385->MAT001930->MAT000542
MAT002384,MAT002385,MAT001930,MAT000543,2,3,->MAT002385->MAT001930->MAT000543
MAT002384,MAT002385,MAT001930,MAT000544,2,4,->MAT002385->MAT001930->MAT000544
MAT002384,MAT002385,MAT001930,MAT000545,2,5,->MAT002385->MAT001930->MAT000545
MAT002384,MAT002385,MAT001930,MAT000564,2,9,->MAT002385->MAT001930->MAT000564
MAT002384,MAT002385,MAT001930,MAT000565,2,10,->MAT002385->MAT001930->MAT000565
MAT002384,MAT002385,MAT001930,MAT000566,2,11,->MAT002385->MAT001930->MAT000566
MAT002384,MAT002385,MAT001930,MAT000571,2,8,->MAT002385->MAT001930->MAT000571
MAT002384,MAT002385,MAT001930,MAT000572,2,6,->MAT002385->MAT001930->MAT000572
